Sample,K,Runtime(s)
Patient13_SIGAD8_NSCJ,13,0.2191
Patient13_SIGAD8_NSCJ,14,0.2512
Patient13_SIGAD8_NSCJ,15,0.2504
Patient13_SIGAD8_NSCJ,16,0.2275
Patient13_SIGAD8_NSCJ,17,0.2304
Patient13_SIGAD8_NSCJ,18,0.2415
Patient13_SIGAD8_NSCJ,19,0.2416
Patient13_SIGAD8_NSCJ,20,0.2770
GSM3954952,3,0.2621
GSM3954952,4,0.2745
GSM3954952,5,0.2900
GSM3954952,6,0.2808
GSM3954952,7,0.2666
GSM3954952,8,0.2406
GSM3954952,9,0.2692
GSM3954952,10,0.2756
GSM3954952,11,0.2898
GSM3954952,12,0.2934
GSM3954952,13,0.2678
GSM3954952,14,0.2863
GSM3954952,15,0.2674
GSM3954952,16,0.2701
GSM3954952,17,0.2933
GSM3954952,18,0.3091
GSM3954952,19,0.3011
GSM3954952,20,0.3124
Patient21_SIGAC1_NG,3,0.2283
Patient21_SIGAC1_NG,4,0.2278
Patient21_SIGAC1_NG,5,0.2328
Patient21_SIGAC1_NG,6,0.2316
Patient21_SIGAC1_NG,7,0.2265
Patient21_SIGAC1_NG,8,0.2308
Patient21_SIGAC1_NG,9,0.2594
Patient21_SIGAC1_NG,10,0.2626
Patient21_SIGAC1_NG,11,0.2633
Patient21_SIGAC1_NG,12,0.2320
Patient21_SIGAC1_NG,13,0.2705
Patient21_SIGAC1_NG,14,0.2373
Patient21_SIGAC1_NG,15,0.2300
Patient21_SIGAC1_NG,16,0.2317
Patient21_SIGAC1_NG,17,0.2550
Patient21_SIGAC1_NG,18,0.2486
Patient21_SIGAC1_NG,19,0.2357
Patient21_SIGAC1_NG,20,0.2319
Patient21_SIGAB1_CIM,3,0.2449
Patient21_SIGAB1_CIM,4,0.2259
Patient21_SIGAB1_CIM,5,0.2349
Patient21_SIGAB1_CIM,6,0.2400
Patient21_SIGAB1_CIM,7,0.2340
Patient21_SIGAB1_CIM,8,0.2391
Patient21_SIGAB1_CIM,9,0.2347
Patient21_SIGAB1_CIM,10,0.2842
Patient21_SIGAB1_CIM,11,0.2600
Patient21_SIGAB1_CIM,12,0.2299
Patient21_SIGAB1_CIM,13,0.2849
Patient21_SIGAB1_CIM,14,0.2475
Patient21_SIGAB1_CIM,15,0.2365
Patient21_SIGAB1_CIM,16,0.2356
Patient21_SIGAB1_CIM,17,0.2742
Patient21_SIGAB1_CIM,18,0.2482
Patient21_SIGAB1_CIM,19,0.2569
Patient21_SIGAB1_CIM,20,0.2560
Patient16_SIGAA1_GIM,3,0.4235
Patient16_SIGAA1_GIM,4,0.4268
Patient16_SIGAA1_GIM,5,0.4400
Patient16_SIGAA1_GIM,6,0.4424
Patient16_SIGAA1_GIM,7,0.4415
Patient16_SIGAA1_GIM,8,0.4448
Patient16_SIGAA1_GIM,9,0.4675
Patient16_SIGAA1_GIM,10,0.4645
Patient16_SIGAA1_GIM,11,0.4474
Patient16_SIGAA1_GIM,12,0.4521
Patient16_SIGAA1_GIM,13,0.4641
Patient16_SIGAA1_GIM,14,0.4576
Patient16_SIGAA1_GIM,15,0.4830
Patient16_SIGAA1_GIM,16,0.4602
Patient16_SIGAA1_GIM,17,0.5141
Patient16_SIGAA1_GIM,18,0.5049
Patient16_SIGAA1_GIM,19,0.5211
Patient16_SIGAA1_GIM,20,0.5261
Patient18_SIGAA3_GM,3,0.2336
Patient18_SIGAA3_GM,4,0.2609
Patient18_SIGAA3_GM,5,0.2348
Patient18_SIGAA3_GM,6,0.2375
Patient18_SIGAA3_GM,7,0.2404
Patient18_SIGAA3_GM,8,0.2376
Patient18_SIGAA3_GM,9,0.2330
Patient18_SIGAA3_GM,10,0.2693
Patient18_SIGAA3_GM,11,0.2818
Patient18_SIGAA3_GM,12,0.2308
Patient18_SIGAA3_GM,13,0.2338
Patient18_SIGAA3_GM,14,0.2300
Patient18_SIGAA3_GM,15,0.2487
Patient18_SIGAA3_GM,16,0.2590
Patient18_SIGAA3_GM,17,0.2397
Patient18_SIGAA3_GM,18,0.2591
Patient18_SIGAA3_GM,19,0.2373
Patient18_SIGAA3_GM,20,0.2375
Patient09_SIGAE9_BSCJ,3,0.2820
Patient09_SIGAE9_BSCJ,4,0.2191
Patient09_SIGAE9_BSCJ,5,0.2250
Patient09_SIGAE9_BSCJ,6,0.2448
Patient09_SIGAE9_BSCJ,7,0.2453
Patient09_SIGAE9_BSCJ,8,0.2413
Patient09_SIGAE9_BSCJ,9,0.2718
Patient09_SIGAE9_BSCJ,10,0.2175
Patient09_SIGAE9_BSCJ,11,0.2197
Patient09_SIGAE9_BSCJ,12,0.2203
Patient09_SIGAE9_BSCJ,13,0.2184
Patient09_SIGAE9_BSCJ,14,0.2207
Patient09_SIGAE9_BSCJ,15,0.2178
Patient09_SIGAE9_BSCJ,16,0.2167
Patient09_SIGAE9_BSCJ,17,0.2217
Patient09_SIGAE9_BSCJ,18,0.2184
Patient09_SIGAE9_BSCJ,19,0.2208
